Variant,Variant_Name,Class,Class_Name,DICE_mean,DICE_std,DICE_min,DICE_max,PRECISION_mean,PRECISION_std,PRECISION_min,PRECISION_max,RECALL_mean,RECALL_std,RECALL_min,RECALL_max,IOU_mean,IOU_std,IOU_min,IOU_max,SPECIFICITY_mean,SPECIFICITY_std,SPECIFICITY_min,SPECIFICITY_max,HD95_mean,HD95_std,HD95_min,HD95_max
2,Baseline Pix2Pix (Softmax + Focal),2,Normal_WMH,0.6129442292770939,0.019766666412824443,0.5893783449973349,0.6431503567581638,0.5772421380067165,0.05164696485851644,0.47612079286870407,0.6177516853637709,0.6645743301624227,0.06347837693577854,0.5857821953311749,0.7733362143453616,0.44219720101688037,0.020639520448957453,0.41781461592280844,0.4740026722647948,0.9986886253646363,0.0004520111404754104,0.997799286919777,0.9990099445630357,5.362997939908055,0.6620068704643117,4.69041575982343,6.6332495807108
2,Baseline Pix2Pix (Softmax + Focal),3,Abnormal_WMH,0.7874766549944588,0.013631066394935228,0.7631490242111962,0.8016684045876349,0.7489478795396208,0.043068421444657064,0.696888964367235,0.8127171693944097,0.8343621954185011,0.03690057592356937,0.7721089746049965,0.8752392329121867,0.6496593445948088,0.01837542164232129,0.6170096795408166,0.6689871214751439,0.9984421484670774,0.0003974095300574832,0.9979994439046649,0.9990296003420287,5.702746914840974,0.2804953213009929,5.385164807134504,6.082762530298219
3,Baseline Pix2Pix + Attention D (Fixed Weights),0,Background,0.9973853363163743,0.00017279973922293052,0.9971374211828671,0.9976383672935385,0.9978985137747239,0.00018108259601209425,0.9977186107092126,0.9982420307640644,0.9968728031340314,0.00037862871026841987,0.9964265848207796,0.9975581367842776,0.9947843691623834,0.0003438031656009156,0.9942911843006261,0.9952878629241126,0.8726908837900718,0.011011373194872838,0.8616763586696065,0.8935525988022172,7.291903305108647,0.16776825964882003,7.14142842854285,7.615773105863909
3,Baseline Pix2Pix + Attention D (Fixed Weights),1,Ventricles,0.8735642328402141,0.012736521842952398,0.8579171726883185,0.8905402386538542,0.8554649655581101,0.024564497530282094,0.8260828617838859,0.8855942860009678,0.8929951424615823,0.012283348910211546,0.8734242673418559,0.9120387246624629,0.7757386622124404,0.020064253163384067,0.7511864745464626,0.8026791684389987,0.9987417544076005,0.0002520085553170366,0.9984432105186068,0.9990412677774083,3.5129040421937416,0.5094165194993904,3.1622776601683795,4.47213595499958
3,Baseline Pix2Pix + Attention D (Fixed Weights),2,Normal_WMH,0.6275123636828698,0.013642222660756053,0.6038774658169764,0.6454318902936753,0.6058580286744182,0.02323783282864581,0.5840652130007469,0.6508830234264855,0.651615168537566,0.018163596282293113,0.6250810285203514,0.6785328435591007,0.4573512312450176,0.014408015824969372,0.4325390150445145,0.47648537247315476,0.9988993780107449,0.000108634320206501,0.9988101591577089,0.9991120726268776,5.227373498390259,0.27306832172038975,5.0,5.744562646538029
3,Baseline Pix2Pix + Attention D (Fixed Weights),3,Abnormal_WMH,0.7978021672992262,0.0097278190662368,0.7786665045883555,0.8044989150030231,0.7682800213455995,0.020416688295585055,0.7390311155199891,0.7946835570544304,0.8303340911707572,0.01516721615167826,0.8106174456979042,0.850744351533209,0.663727429952424,0.013313487714612163,0.6375543678394817,0.672938674083309,0.998628606431966,0.00016875000541220325,0.9984153594958671,0.9988577558169792,4.905369520991,0.5808182697991942,4.47213595499958,6.0
4,Baseline Pix2Pix + Adaptive Hybrid (WCE→UFL),0,Background,0.9978563754675503,5.7696303166348665e-05,0.9977649575191003,0.9979289932236821,0.997807286256467,0.00023179310804737703,0.997373768432166,0.9979953981523524,0.9979055983811307,0.00028551726154417103,0.9975346232803731,0.9984174420338939,0.9957219281440135,0.00011489697544491726,0.9955398835878516,0.9958665468568333,0.8670113984826932,0.014131348156558506,0.8405758510205205,0.8784949192138403,7.0710678118654755,0.0,7.0710678118654755,7.0710678118654755
4,Baseline Pix2Pix + Adaptive Hybrid (WCE→UFL),1,Ventricles,0.9005207994307316,0.002779628763368272,0.8969091325598326,0.9046872262504734,0.9001738145755027,0.011111338851862567,0.8890615748956573,0.9149544083661837,0.9011605530633844,0.012423405318137053,0.8795618890981939,0.9165486898204351,0.8190546854951553,0.004601846528867028,0.8130872614703083,0.8259624537688036,0.9991693094971182,0.00011189088464125812,0.9990522271257429,0.9993224874657651,3.0,0.0,3.0,3.0
4,Baseline Pix2Pix + Adaptive Hybrid (WCE→UFL),2,Normal_WMH,0.6588160145653053,0.003610686036543374,0.653585743688856,0.6628902682734057,0.6466279702966612,0.017326615010880977,0.6148153402359322,0.6666758529442025,0.6724557044061352,0.0186119142335435,0.6518204407933994,0.7023282195313787,0.4912305135868575,0.004011268784927419,0.4854269335200937,0.49576355069783473,0.9990456823998766,0.00010048271153988495,0.998861991595035,0.9991551033295635,4.896311036104438,0.16167324367956717,4.58257569495584,5.0
4,Baseline Pix2Pix + Adaptive Hybrid (WCE→UFL),3,Abnormal_WMH,0.8167148003317196,0.009225962007780475,0.8028257967895284,0.8291947464527972,0.8353259329196312,0.02877915738477011,0.8016782414612899,0.8857436641854386,0.8005189266941537,0.02663652136176693,0.7523923291321434,0.8258769732690765,0.690312285950698,0.013170840237586913,0.670600648290436,0.708226021313601,0.9991286718982151,0.0001946599001791236,0.9988857076985507,0.9994706656211612,4.263263254555764,0.15680058148677103,4.0,4.47213595499958
5,Baseline Pix2Pix + Attention D + Adaptive Hybrid (WCE→UFL),0,Background,0.9980326047571431,4.204951878765846e-05,0.9979761971782577,0.9980912029889262,0.9978828935922399,0.00010364495100972466,0.9977052736096627,0.9979928241089359,0.9981823778186565,9.860176782383529e-05,0.9980487332949586,0.9983058945379617,0.9960729391176546,8.376957044639592e-05,0.9959605693676274,0.9961896791069843,0.8715768044731222,0.006309350803827352,0.8607615595388808,0.8782758828022581,7.099212058536426,0.034469521769425776,7.0710678118654755,7.14142842854285
5,Baseline Pix2Pix + Attention D + Adaptive Hybrid (WCE→UFL),1,Ventricles,0.9071715657544939,0.0022281103829889216,0.9039540772675188,0.9109281088873475,0.9160392335798957,0.004559118899520436,0.9089865446618363,0.9203563785640736,0.8985427387010126,0.007237919705595968,0.8932359000000905,0.9128779850959954,0.8301210484551248,0.003734054900859618,0.8247410610441661,0.8364260581151314,0.9993170358924909,4.5410134762928377e-05,0.9992425404247084,0.9993594401402782,3.0,0.0,3.0,3.0
5,Baseline Pix2Pix + Attention D + Adaptive Hybrid (WCE→UFL),2,Normal_WMH,0.6774441277262501,0.006755910578699237,0.6656559350745109,0.6853599067095762,0.6602323973414891,0.018603983569214385,0.6299949357305086,0.6851902322013377,0.6961592480534351,0.009699092651992201,0.6790460241986845,0.7055963699203068,0.5122627723831047,0.007698531542284681,0.4988637882626485,0.5213289250856356,0.9990703831408989,8.829180802957211e-05,0.9989282141699475,0.9991931044695976,4.87263808341945,0.2395790224757369,4.58257569495584,5.0990195135927845
5,Baseline Pix2Pix + Attention D + Adaptive Hybrid (WCE→UFL),3,Abnormal_WMH,0.8253286697572065,0.008684753041821314,0.8113191153761043,0.8366953234237683,0.8484847609424685,0.01274225474283077,0.8286155628489044,0.8624276474988148,0.8039613117017919,0.021250570588361727,0.7796231359089828,0.8300643520470244,0.7026967245625875,0.012554062033821594,0.6825373621052295,0.7192400583192698,0.9992145171004146,9.32030056824414e-05,0.9990672898465035,0.9993189968903287,4.505059198550056,0.3231742835677541,4.123105625617661,5.0990195135927845
